Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
2023-05-28 13:45:17.392,10999.0,265.0,7,100.0,0,0,car,0 days 00:00:00.185000,0 days 01:44:16.415000,13.618055555555555
2023-05-28 13:45:17.752,11207.0,269.0,7,100.0,0,0,car,0 days 00:00:00.545000,0 days 01:44:16.775000,40.51805555555555
2023-05-28 13:45:18.032,11190.0,269.0,7,100.0,0,0,car,0 days 00:00:00.825000,0 days 01:44:17.055000,61.440277777777766
2023-05-28 13:45:18.272,11253.0,272.0,7,93.0,0,0,car,0 days 00:00:01.065000,0 days 01:44:17.295000,79.57361111111109
2023-05-28 13:45:18.552,10811.0,261.0,7,9.0,1,0,car,0 days 00:00:01.345000,0 days 01:44:17.575000,99.87361111111107
2023-05-28 13:45:18.992,9030.0,209.0,7,0.0,1,0,car,0 days 00:00:01.785000,0 days 01:44:18.015000,125.41805555555553
2023-05-28 13:45:19.232,8430.0,184.0,7,0.0,1,0,car,0 days 00:00:02.025000,0 days 01:44:18.255000,137.6847222222222
2023-05-28 13:45:19.552,8606.0,147.0,6,0.0,1,0,car,0 days 00:00:02.345000,0 days 01:44:18.575000,150.7513888888889
2023-05-28 13:45:19.952,8719.0,119.0,5,0.0,1,0,car,0 days 00:00:02.745000,0 days 01:44:18.975000,163.97361111111113
2023-05-28 13:45:20.312,7805.0,112.0,3,2.0,0,0,car,0 days 00:00:03.105000,0 days 01:44:19.335000,175.17361111111111
2023-05-28 13:45:20.592,7781.0,108.0,3,11.0,0,0,car,0 days 00:00:03.385000,0 days 01:44:19.615000,183.57361111111112
2023-05-28 13:45:20.792,7828.0,105.0,3,27.0,0,0,car,0 days 00:00:03.585000,0 days 01:44:19.815000,189.4069444444445
2023-05-28 13:45:20.992,7890.0,106.0,3,35.0,0,0,car,0 days 00:00:03.785000,0 days 01:44:20.015000,195.29583333333335
2023-05-28 13:45:21.192,8295.0,107.0,3,51.0,0,0,car,0 days 00:00:03.985000,0 days 01:44:20.215000,201.24027777777775
2023-05-28 13:45:21.352,8660.0,112.0,3,61.0,0,0,car,0 days 00:00:04.145000,0 days 01:44:20.375000,206.2180555555555
2023-05-28 13:45:21.512,8730.0,115.0,3,69.0,0,0,car,0 days 00:00:04.305000,0 days 01:44:20.535000,211.32916666666665
2023-05-28 13:45:21.832,9437.0,126.0,3,85.0,0,0,car,0 days 00:00:04.625000,0 days 01:44:20.855000,222.52916666666667
2023-05-28 13:45:22.032,10516.0,130.0,3,90.0,0,0,car,0 days 00:00:04.825000,0 days 01:44:21.055000,229.7513888888889
2023-05-28 13:45:22.472,11263.0,159.0,3,100.0,0,0,car,0 days 00:00:05.265000,0 days 01:44:21.495000,249.1847222222222
2023-05-28 13:45:22.752,10727.0,170.0,4,100.0,0,0,car,0 days 00:00:05.545000,0 days 01:44:21.775000,262.40694444444443
2023-05-28 13:45:22.912,11006.0,170.0,4,100.0,0,0,car,0 days 00:00:05.705000,0 days 01:44:21.935000,269.9625
2023-05-28 13:45:23.312,11207.0,189.0,4,100.0,0,0,car,0 days 00:00:06.105000,0 days 01:44:22.335000,290.9625
2023-05-28 13:45:23.472,10574.0,195.0,5,100.0,0,0,car,0 days 00:00:06.265000,0 days 01:44:22.495000,299.6291666666666
2023-05-28 13:45:23.832,11027.0,204.0,5,100.0,0,0,car,0 days 00:00:06.625000,0 days 01:44:22.855000,320.02916666666664
2023-05-28 13:45:24.032,11261.0,209.0,5,100.0,0,0,car,0 days 00:00:06.825000,0 days 01:44:23.055000,331.6402777777778
2023-05-28 13:45:24.352,11613.0,216.0,5,100.0,0,0,car,0 days 00:00:07.145000,0 days 01:44:23.375000,350.84027777777777
2023-05-28 13:45:24.632,10535.0,223.0,6,100.0,0,0,car,0 days 00:00:07.425000,0 days 01:44:23.655000,368.1847222222222
2023-05-28 13:45:24.992,10960.0,231.0,6,100.0,0,0,car,0 days 00:00:07.785000,0 days 01:44:24.015000,391.28472222222223
2023-05-28 13:45:25.232,10989.0,235.0,6,100.0,0,0,car,0 days 00:00:08.025000,0 days 01:44:24.255000,406.9513888888889
2023-05-28 13:45:25.592,11416.0,240.0,6,100.0,0,0,car,0 days 00:00:08.385000,0 days 01:44:24.615000,430.95138888888886
2023-05-28 13:45:25.792,11538.0,244.0,6,100.0,0,0,car,0 days 00:00:08.585000,0 days 01:44:24.815000,444.50694444444446
2023-05-28 13:45:25.992,11321.0,247.0,6,100.0,0,0,car,0 days 00:00:08.785000,0 days 01:44:25.015000,458.22916666666663
2023-05-28 13:45:26.392,10539.0,252.0,7,100.0,0,0,car,0 days 00:00:09.185000,0 days 01:44:25.415000,486.22916666666663
2023-05-28 13:45:26.752,10705.0,256.0,7,100.0,0,0,car,0 days 00:00:09.545000,0 days 01:44:25.775000,511.8291666666666
2023-05-28 13:45:26.912,10550.0,259.0,7,100.0,0,0,car,0 days 00:00:09.705000,0 days 01:44:25.935000,523.3402777777777
2023-05-28 13:45:27.192,10808.0,261.0,7,100.0,0,0,car,0 days 00:00:09.985000,0 days 01:44:26.215000,543.6402777777777
2023-05-28 13:45:27.512,10934.0,263.0,7,100.0,0,0,car,0 days 00:00:10.305000,0 days 01:44:26.535000,567.0180555555555
2023-05-28 13:45:27.832,11267.0,264.0,7,100.0,0,0,car,0 days 00:00:10.625000,0 days 01:44:26.855000,590.4847222222222
2023-05-28 13:45:27.992,11052.0,264.0,7,100.0,0,0,car,0 days 00:00:10.785000,0 days 01:44:27.015000,602.2180555555556
2023-05-28 13:45:28.152,11184.0,262.0,7,86.0,1,0,car,0 days 00:00:10.945000,0 days 01:44:27.175000,613.8625000000001
2023-05-28 13:45:28.472,9868.0,240.0,7,0.0,1,0,car,0 days 00:00:11.265000,0 days 01:44:27.495000,635.1958333333334
2023-05-28 13:45:28.712,9308.0,226.0,7,0.0,1,0,car,0 days 00:00:11.505000,0 days 01:44:27.735000,650.2625000000002
2023-05-28 13:45:29.072,10214.0,212.0,6,0.0,1,0,car,0 days 00:00:11.865000,0 days 01:44:28.095000,671.4625000000001
2023-05-28 13:45:29.352,10447.0,193.0,5,0.0,1,0,car,0 days 00:00:12.145000,0 days 01:44:28.375000,686.4736111111112
